nConv=94
id;height;width;channels;kernel_heigth;kernel_width;kernel_num;stride;padding
2;224;224;3;3;3;32;2;0
3;112;112;32;3;3;32;1;0
4;112;112;32;3;3;64;1;0
6;56;56;64;1;1;80;1;0
7;56;56;80;3;3;192;1;0
9;28;28;192;1;1;64;1;0
10;28;28;64;1;1;48;1;0
11;28;28;48;5;5;64;1;0
12;28;28;64;1;1;64;1;0
13;28;28;64;3;3;96;1;0
14;28;28;96;3;3;96;1;0
16;28;28;96;1;1;32;1;0
17;28;28;32;1;1;64;1;0
18;28;28;64;1;1;48;1;0
19;28;28;48;5;5;64;1;0
20;28;28;64;1;1;64;1;0
21;28;28;64;3;3;96;1;0
22;28;28;96;3;3;96;1;0
24;28;28;96;1;1;64;1;0
25;28;28;64;1;1;64;1;0
26;28;28;64;1;1;48;1;0
27;28;28;48;5;5;64;1;0
28;28;28;64;1;1;64;1;0
29;28;28;64;3;3;96;1;0
30;28;28;96;3;3;96;1;0
32;28;28;96;1;1;64;1;0
33;28;28;64;3;3;384;2;0
34;14;14;384;1;1;64;1;0
35;14;14;64;3;3;96;1;0
36;14;14;96;3;3;96;2;0
38;3;3;96;1;1;192;1;0
39;3;3;192;1;1;128;1;0
40;3;3;128;1;7;128;1;0
41;3;3;128;7;1;192;1;0
42;3;3;192;1;1;128;1;0
43;3;3;128;7;1;128;1;0
44;3;3;128;1;7;128;1;0
45;3;3;128;7;1;128;1;0
46;3;3;128;1;7;192;1;0
48;3;3;192;1;1;192;1;0
49;3;3;192;1;1;192;1;0
50;3;3;192;1;1;160;1;0
51;3;3;160;1;7;160;1;0
52;3;3;160;7;1;192;1;0
53;3;3;192;1;1;160;1;0
54;3;3;160;7;1;160;1;0
55;3;3;160;1;7;160;1;0
56;3;3;160;7;1;160;1;0
57;3;3;160;1;7;192;1;0
59;3;3;192;1;1;192;1;0
60;3;3;192;1;1;192;1;0
61;3;3;192;1;1;160;1;0
62;3;3;160;1;7;160;1;0
63;3;3;160;7;1;192;1;0
64;3;3;192;1;1;160;1;0
65;3;3;160;7;1;160;1;0
66;3;3;160;1;7;160;1;0
67;3;3;160;7;1;160;1;0
68;3;3;160;1;7;192;1;0
70;3;3;192;1;1;192;1;0
71;3;3;192;1;1;192;1;0
72;3;3;192;1;1;192;1;0
73;3;3;192;1;7;192;1;0
74;3;3;192;7;1;192;1;0
75;3;3;192;1;1;192;1;0
76;3;3;192;7;1;192;1;0
77;3;3;192;1;7;192;1;0
78;3;3;192;7;1;192;1;0
79;3;3;192;1;7;192;1;0
81;3;3;192;1;1;192;1;0
82;3;3;192;1;1;192;1;0
83;3;3;192;3;3;320;2;0
84;2;2;320;1;1;192;1;0
85;2;2;192;1;7;192;1;0
86;2;2;192;7;1;192;1;0
87;2;2;192;3;3;192;2;0
89;1;1;192;1;1;320;1;0
90;1;1;320;1;1;384;1;0
91;1;1;384;1;3;384;1;0
92;1;1;384;3;1;384;1;0
93;1;1;384;1;1;448;1;0
94;1;1;448;3;3;384;1;0
95;1;1;384;1;3;384;1;0
96;1;1;384;3;1;384;1;0
98;1;1;384;1;1;192;1;0
99;1;1;192;1;1;320;1;0
100;1;1;320;1;1;384;1;0
101;1;1;384;1;3;384;1;0
102;1;1;384;3;1;384;1;0
103;1;1;384;1;1;448;1;0
104;1;1;448;3;3;384;1;0
105;1;1;384;1;3;384;1;0
106;1;1;384;3;1;384;1;0
108;1;1;384;1;1;192;1;0
