nConv=53
id;height;width;channels;kernel_heigth;kernel_width;kernel_num;stride;padding
2;224;224;3;7;7;64;2;0
4;56;224;64;1;1;256;1;0
5;56;112;256;1;1;64;1;0
6;56;112;64;3;3;64;1;0
7;56;112;64;1;1;256;1;0
8;56;112;256;1;1;64;1;0
9;56;112;64;3;3;64;1;0
10;56;112;64;1;1;256;1;0
11;56;112;256;1;1;64;1;0
12;56;112;64;3;3;64;1;0
13;56;112;64;1;1;256;1;0
14;56;112;256;1;1;512;2;0
15;28;56;512;1;1;128;2;0
16;28;56;128;3;3;128;1;0
17;28;56;128;1;1;512;1;0
18;28;56;512;1;1;128;1;0
19;28;56;128;3;3;128;1;0
20;28;56;128;1;1;512;1;0
21;28;56;512;1;1;128;1;0
22;28;56;128;3;3;128;1;0
23;28;56;128;1;1;512;1;0
24;28;56;512;1;1;128;1;0
25;28;56;128;3;3;128;1;0
26;28;56;128;1;1;512;1;0
27;28;56;512;1;1;1024;2;0
28;14;28;1024;1;1;256;2;0
29;14;28;256;3;3;256;1;0
30;14;28;256;1;1;1024;1;0
31;14;28;1024;1;1;256;1;0
32;14;28;256;3;3;256;1;0
33;14;28;256;1;1;1024;1;0
34;14;28;1024;1;1;256;1;0
35;14;28;256;3;3;256;1;0
36;14;28;256;1;1;1024;1;0
37;14;28;1024;1;1;256;1;0
38;14;28;256;3;3;256;1;0
39;14;28;256;1;1;1024;1;0
40;14;28;1024;1;1;256;1;0
41;14;28;256;3;3;256;1;0
42;14;28;256;1;1;1024;1;0
43;14;28;1024;1;1;256;1;0
44;14;28;256;3;3;256;1;0
45;14;28;256;1;1;1024;1;0
46;14;28;1024;1;1;2048;2;0
47;7;14;2048;1;1;512;2;0
48;7;14;512;3;3;512;1;0
49;7;14;512;1;1;2048;1;0
50;7;14;2048;1;1;512;1;0
51;7;14;512;3;3;512;1;0
52;7;14;512;1;1;2048;1;0
53;7;14;2048;1;1;512;1;0
54;7;14;512;3;3;512;1;0
55;7;14;512;1;1;2048;1;0
